date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
"2020-09-18",nation,E92000001,England,
"2020-09-17",nation,E92000001,England,4
"2020-09-16",nation,E92000001,England,13
"2020-09-15",nation,E92000001,England,15
"2020-09-14",nation,E92000001,England,14
"2020-09-13",nation,E92000001,England,14
"2020-09-12",nation,E92000001,England,13
"2020-09-11",nation,E92000001,England,11
"2020-09-10",nation,E92000001,England,10
"2020-09-09",nation,E92000001,England,9
"2020-09-08",nation,E92000001,England,8
"2020-09-07",nation,E92000001,England,11
"2020-09-06",nation,E92000001,England,9
"2020-09-05",nation,E92000001,England,11
"2020-09-04",nation,E92000001,England,6
"2020-09-03",nation,E92000001,England,7
"2020-09-02",nation,E92000001,England,8
"2020-09-01",nation,E92000001,England,2
"2020-08-31",nation,E92000001,England,6
"2020-08-30",nation,E92000001,England,5
"2020-08-29",nation,E92000001,England,5
"2020-08-28",nation,E92000001,England,7
"2020-08-27",nation,E92000001,England,8
"2020-08-26",nation,E92000001,England,11
"2020-08-25",nation,E92000001,England,11
"2020-08-24",nation,E92000001,England,5
"2020-08-23",nation,E92000001,England,13
"2020-08-22",nation,E92000001,England,5
"2020-08-21",nation,E92000001,England,7
"2020-08-20",nation,E92000001,England,8
"2020-08-19",nation,E92000001,England,1
"2020-08-18",nation,E92000001,England,8
"2020-08-17",nation,E92000001,England,12
"2020-08-16",nation,E92000001,England,4
"2020-08-15",nation,E92000001,England,12
"2020-08-14",nation,E92000001,England,6
"2020-08-13",nation,E92000001,England,7
"2020-08-12",nation,E92000001,England,6
"2020-08-11",nation,E92000001,England,10
"2020-08-10",nation,E92000001,England,11
"2020-08-09",nation,E92000001,England,8
"2020-08-08",nation,E92000001,England,11
"2020-08-07",nation,E92000001,England,7
"2020-08-06",nation,E92000001,England,9
"2020-08-05",nation,E92000001,England,3
"2020-08-04",nation,E92000001,England,11
"2020-08-03",nation,E92000001,England,15
"2020-08-02",nation,E92000001,England,8
"2020-08-01",nation,E92000001,England,9
"2020-07-31",nation,E92000001,England,10
"2020-07-30",nation,E92000001,England,8
"2020-07-29",nation,E92000001,England,8
"2020-07-28",nation,E92000001,England,10
"2020-07-27",nation,E92000001,England,10
"2020-07-26",nation,E92000001,England,14
"2020-07-25",nation,E92000001,England,13
"2020-07-24",nation,E92000001,England,6
"2020-07-23",nation,E92000001,England,16
"2020-07-22",nation,E92000001,England,16
"2020-07-21",nation,E92000001,England,19
"2020-07-20",nation,E92000001,England,12
"2020-07-19",nation,E92000001,England,14
"2020-07-18",nation,E92000001,England,14
"2020-07-17",nation,E92000001,England,18
"2020-07-16",nation,E92000001,England,12
"2020-07-15",nation,E92000001,England,20
"2020-07-14",nation,E92000001,England,20
"2020-07-13",nation,E92000001,England,22
"2020-07-12",nation,E92000001,England,12
"2020-07-11",nation,E92000001,England,21
"2020-07-10",nation,E92000001,England,21
"2020-07-09",nation,E92000001,England,35
"2020-07-08",nation,E92000001,England,23
"2020-07-07",nation,E92000001,England,26
"2020-07-06",nation,E92000001,England,33
"2020-07-05",nation,E92000001,England,24
"2020-07-04",nation,E92000001,England,31
"2020-07-03",nation,E92000001,England,26
"2020-07-02",nation,E92000001,England,40
"2020-07-01",nation,E92000001,England,22
"2020-06-30",nation,E92000001,England,43
"2020-06-29",nation,E92000001,England,33
"2020-06-28",nation,E92000001,England,42
"2020-06-27",nation,E92000001,England,39
"2020-06-26",nation,E92000001,England,38
"2020-06-25",nation,E92000001,England,57
"2020-06-24",nation,E92000001,England,68
"2020-06-23",nation,E92000001,England,60
"2020-06-22",nation,E92000001,England,58
"2020-06-21",nation,E92000001,England,47
"2020-06-20",nation,E92000001,England,54
"2020-06-19",nation,E92000001,England,47
"2020-06-18",nation,E92000001,England,57
"2020-06-17",nation,E92000001,England,53
"2020-06-16",nation,E92000001,England,69
"2020-06-15",nation,E92000001,England,61
"2020-06-14",nation,E92000001,England,76
"2020-06-13",nation,E92000001,England,52
"2020-06-12",nation,E92000001,England,72
"2020-06-11",nation,E92000001,England,71
"2020-06-10",nation,E92000001,England,97
"2020-06-09",nation,E92000001,England,85
"2020-06-08",nation,E92000001,England,111
"2020-06-07",nation,E92000001,England,111
"2020-06-06",nation,E92000001,England,98
"2020-06-05",nation,E92000001,England,108
"2020-06-04",nation,E92000001,England,120
"2020-06-03",nation,E92000001,England,138
"2020-06-02",nation,E92000001,England,157
"2020-06-01",nation,E92000001,England,122
"2020-05-31",nation,E92000001,England,112
"2020-05-30",nation,E92000001,England,144
"2020-05-29",nation,E92000001,England,163
"2020-05-28",nation,E92000001,England,183
"2020-05-27",nation,E92000001,England,169
"2020-05-26",nation,E92000001,England,187
"2020-05-25",nation,E92000001,England,176
"2020-05-24",nation,E92000001,England,169
"2020-05-23",nation,E92000001,England,198
"2020-05-22",nation,E92000001,England,195
"2020-05-21",nation,E92000001,England,201
"2020-05-20",nation,E92000001,England,235
"2020-05-19",nation,E92000001,England,230
"2020-05-18",nation,E92000001,England,253
"2020-05-17",nation,E92000001,England,222
"2020-05-16",nation,E92000001,England,269
"2020-05-15",nation,E92000001,England,268
"2020-05-14",nation,E92000001,England,278
"2020-05-13",nation,E92000001,England,254
"2020-05-12",nation,E92000001,England,274
"2020-05-11",nation,E92000001,England,260
"2020-05-10",nation,E92000001,England,301
"2020-05-09",nation,E92000001,England,330
"2020-05-08",nation,E92000001,England,328
"2020-05-07",nation,E92000001,England,398
"2020-05-06",nation,E92000001,England,392
"2020-05-05",nation,E92000001,England,390
"2020-05-04",nation,E92000001,England,411
"2020-05-03",nation,E92000001,England,388
"2020-05-02",nation,E92000001,England,423
"2020-05-01",nation,E92000001,England,478
"2020-04-30",nation,E92000001,England,479
"2020-04-29",nation,E92000001,England,494
"2020-04-28",nation,E92000001,England,498
"2020-04-27",nation,E92000001,England,506
"2020-04-26",nation,E92000001,England,558
"2020-04-25",nation,E92000001,England,555
"2020-04-24",nation,E92000001,England,601
"2020-04-23",nation,E92000001,England,592
"2020-04-22",nation,E92000001,England,642
"2020-04-21",nation,E92000001,England,648
"2020-04-20",nation,E92000001,England,683
"2020-04-19",nation,E92000001,England,682
"2020-04-18",nation,E92000001,England,706
"2020-04-17",nation,E92000001,England,744
"2020-04-16",nation,E92000001,England,751
"2020-04-15",nation,E92000001,England,783
"2020-04-14",nation,E92000001,England,770
"2020-04-13",nation,E92000001,England,803
"2020-04-12",nation,E92000001,England,857
"2020-04-11",nation,E92000001,England,861
"2020-04-10",nation,E92000001,England,849
"2020-04-09",nation,E92000001,England,874
"2020-04-08",nation,E92000001,England,975
"2020-04-07",nation,E92000001,England,910
"2020-04-06",nation,E92000001,England,805
"2020-04-05",nation,E92000001,England,830
"2020-04-04",nation,E92000001,England,837
"2020-04-03",nation,E92000001,England,744
"2020-04-02",nation,E92000001,England,732
"2020-04-01",nation,E92000001,England,697
"2020-03-31",nation,E92000001,England,603
"2020-03-30",nation,E92000001,England,537
"2020-03-29",nation,E92000001,England,466
"2020-03-28",nation,E92000001,England,385
"2020-03-27",nation,E92000001,England,374
"2020-03-26",nation,E92000001,England,335
"2020-03-25",nation,E92000001,England,278
"2020-03-24",nation,E92000001,England,219
